,name,studio,series,combo,link
0,Abyss,Marvel,01 - Nils Styger,(Marvel)(01 - Nils Styger),Abyss (Marvel)(01 - Nils Styger)
0,Abyss,Marvel,02 - Nova Villain,(Marvel)(02 - Nova Villain),Abyss (Marvel)(02 - Nova Villain)
0,Abyss,Marvel,03 - Avengers,(Marvel)(03 - Avengers),Abyss (Marvel)(03 - Avengers)
0,Abyss,Marvel,Age Of Apocalypse,(Marvel)(Age Of Apocalypse),Abyss (Marvel)(Age Of Apocalypse)
0,DC,Marvel,,(Marvel),DC (Marvel)
0,Acari,Marvel,,(Marvel),Acari (Marvel)
0,Accountant,Marvel,,(Marvel),Accountant (Marvel)
0,Ace,Marvel,01 - Ace Spencer,(Marvel)(01 - Ace Spencer),Ace (Marvel)(01 - Ace Spencer)
0,Ace,Marvel,,(Marvel),Ace (Marvel)
0,Ace,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Ace (Marvel)(Age of Apocalypse)
0,Aceptar,Marvel,,(Marvel),Aceptar (Marvel)
0,Acero,Marvel,,(Marvel),Acero (Marvel)
0,Acheron,Marvel,,(Marvel),Acheron (Marvel)
0,Acheron,Marvel,,(Marvel),Acheron (Marvel)
0,Achilles,Marvel,01 - Mythology,(Marvel)(01 - Mythology),Achilles (Marvel)(01 - Mythology)
0,Achilles,Marvel,02 - Helmut,(Marvel)(02 - Helmut),Achilles (Marvel)(02 - Helmut)
0,Achilles,Marvel,03 - Lewis Green,(Marvel)(03 - Lewis Green),Achilles (Marvel)(03 - Lewis Green)
0,Acidroid,Marvel,,(Marvel),Acidroid (Marvel)
0,Acrobat,Marvel,,(Marvel),Acrobat (Marvel)
0,Acrobat,Marvel,Antoine,(Marvel)(Antoine),Acrobat (Marvel)(Antoine)
0,Acrobat,Marvel,Eloise,(Marvel)(Eloise),Acrobat (Marvel)(Eloise)
0,Acturus,Marvel,Earth-42777,(Marvel)(Earth-42777),Acturus (Marvel)(Earth-42777)
0,Adam,Marvel,Ghost Rider Ally,(Marvel)(Ghost Rider Ally),Adam (Marvel)(Ghost Rider Ally)
0,Adam,Marvel,Gideon,(Marvel)(Gideon),Adam (Marvel)(Gideon)
0,Adam,Marvel,Infinity Guantlet,(Marvel)(Infinity Guantlet),Adam (Marvel)(Infinity Guantlet)
0,Adam II,Marvel,,(Marvel),Adam II (Marvel)
0,Adam II,Marvel,Earth-8206,(Marvel)(Earth-8206),Adam II (Marvel)(Earth-8206)
0,Adam Warlock,Marvel,01 - Earth-616,(Marvel)(01 - Earth-616),Adam Warlock (Marvel)(01 - Earth-616)
0,Adam Warlock,Marvel,02 - Earth-19141,(Marvel)(02 - Earth-19141),Adam Warlock (Marvel)(02 - Earth-19141)
0,Adam Warlock,Marvel,Earth X,(Marvel)(Earth X),Adam Warlock (Marvel)(Earth X)
0,Adam Warlock,Marvel,Skrull impostor,(Marvel)(Skrull impostor),Adam Warlock (Marvel)(Skrull impostor)
0,Sam Adams,Marvel,,(Marvel),Sam Adams (Marvel)
0,Adept,Marvel,,(Marvel),Adept (Marvel)
0,Administrator,Marvel,01-Wolverine villain,(Marvel)(01-Wolverine villain),Administrator (Marvel)(01-Wolverine villain)
0,Administrator,Marvel,02- Groot villain,(Marvel)(02- Groot villain),Administrator (Marvel)(02- Groot villain)
0,Adomox,Marvel,,(Marvel),Adomox (Marvel)
0,Adonis,Marvel,,(Marvel),Adonis (Marvel)
0,Scott Adsit,Marvel,,(Marvel),Scott Adsit (Marvel)
0,Adur,Marvel,,(Marvel),Adur (Marvel)
0,Adversary,Marvel,,(Marvel),Adversary (Marvel)
0,Aegis,Marvel,01 - Trey Rollins,(Marvel)(01 - Trey Rollins),Aegis (Marvel)(01 - Trey Rollins)
0,Aegis,Marvel,02 - Lady of All Sorrows,(Marvel)(02 - Lady of All Sorrows),Aegis (Marvel)(02 - Lady of All Sorrows)
0,Aegis,Marvel,03 - Monster,(Marvel)(03 - Monster),Aegis (Marvel)(03 - Monster)
0,Aero,Marvel,,(Marvel),Aero (Marvel)
0,Aerolite,Marvel,,(Marvel),Aerolite (Marvel)
0,Aftershock,Marvel,,(Marvel),Aftershock (Marvel)
0,Agamemnon,Marvel,01 - Andrei Rostov,(Marvel)(01 - Andrei Rostov),Agamemnon (Marvel)(01 - Andrei Rostov)
0,Agamemnon,Marvel,02 - Vali Halfling,(Marvel)(02 - Vali Halfling),Agamemnon (Marvel)(02 - Vali Halfling)
0,Agent 13,Marvel,,(Marvel),Agent 13 (Marvel)
0,Agent 33,Marvel,,(Marvel),Agent 33 (Marvel)
0,Agent 33,Marvel,MC2,(Marvel)(MC2),Agent 33 (Marvel)(MC2)
0,Agent 33,Marvel,Movies,(Marvel)(Movies),Agent 33 (Marvel)(Movies)
0,Agent 77,Marvel,Earth-65,(Marvel)(Earth-65),Agent 77 (Marvel)(Earth-65)
0,Agent Axis,Marvel,,(Marvel),Agent Axis (Marvel)
0,Agent Beccera,Marvel,,(Marvel),Agent Beccera (Marvel)
0,Agent Bradley,Marvel,Ultimate,(Marvel)(Ultimate),Agent Bradley (Marvel)(Ultimate)
0,Agent Callamaro,Marvel,,(Marvel),Agent Callamaro (Marvel)
0,Agent Crock,Marvel,Ultimate,(Marvel)(Ultimate),Agent Crock (Marvel)(Ultimate)
0,Agent Deems,Marvel,,(Marvel),Agent Deems (Marvel)
0,Agent Elder,Marvel,,(Marvel),Agent Elder (Marvel)
0,Agent Foley,Marvel,House of M,(Marvel)(House of M),Agent Foley (Marvel)(House of M)
0,Agent Ford,Marvel,House of M,(Marvel)(House of M),Agent Ford (Marvel)(House of M)
0,Agent Karp,Marvel,,(Marvel),Agent Karp (Marvel)
0,Agent Keller,Marvel,01 - FBI,(Marvel)(01 - FBI),Agent Keller (Marvel)(01 - FBI)
0,Agent Keller,Marvel,02 - SHIELD,(Marvel)(02 - SHIELD),Agent Keller (Marvel)(02 - SHIELD)
0,Agent Kim,Marvel,,(Marvel),Agent Kim (Marvel)
0,Agent Krill,Marvel,,(Marvel),Agent Krill (Marvel)
0,Agent Kurdle,Marvel,,(Marvel),Agent Kurdle (Marvel)
0,Agent Moonstar,Marvel,House of M,(Marvel)(House of M),Agent Moonstar (Marvel)(House of M)
0,Agent Moro,Marvel,,(Marvel),Agent Moro (Marvel)
0,Agent of Fortune,Marvel,,(Marvel),Agent of Fortune (Marvel)
0,Agent Porter,Marvel,,(Marvel),Agent Porter (Marvel)
0,Agent Sikorski,Marvel,Animated,(Marvel)(Animated),Agent Sikorski (Marvel)(Animated)
0,Agent X,Marvel,01 - Rijk Rooten,(Marvel)(01 - Rijk Rooten),Agent X (Marvel)(01 - Rijk Rooten)
0,Agent X,Marvel,02 - Cynthia Glass,(Marvel)(02 - Cynthia Glass),Agent X (Marvel)(02 - Cynthia Glass)
0,Agent X,Marvel,03 - James Burkley,(Marvel)(03 - James Burkley),Agent X (Marvel)(03 - James Burkley)
0,Agent X,Marvel,04 - Alex Hayden,(Marvel)(04 - Alex Hayden),Agent X (Marvel)(04 - Alex Hayden)
0,Agent Zero,Marvel,,(Marvel),Agent Zero (Marvel)
0,Agent Zero,Marvel,Days of Future Now,(Marvel)(Days of Future Now),Agent Zero (Marvel)(Days of Future Now)
0,Aggamon,Marvel,,(Marvel),Aggamon (Marvel)
0,Agnar the Fierce,Marvel,,(Marvel),Agnar the Fierce (Marvel)
0,Agony,Marvel,01 - Leslie Gesneria,(Marvel)(01 - Leslie Gesneria),Agony (Marvel)(01 - Leslie Gesneria)
0,Agony,Marvel,02 - James Murphy,(Marvel)(02 - James Murphy),Agony (Marvel)(02 - James Murphy)
0,Agony,Marvel,03 - Hellbent,(Marvel)(03 - Hellbent),Agony (Marvel)(03 - Hellbent)
0,Bernardo Agro,Marvel,Adventures,(Marvel)(Adventures),Bernardo Agro (Marvel)(Adventures)
0,Aguja,Marvel,,(Marvel),Aguja (Marvel)
0,Ah Puch,Marvel,Mayapan,(Marvel)(Mayapan),Ah Puch (Marvel)(Mayapan)
0,Ahab,Marvel,,(Marvel),Ahab (Marvel)
0,Ahab,Marvel,X-men The End,(Marvel)(X-men The End),Ahab (Marvel)(X-men The End)
0,Valdar Ahd,Marvel,,(Marvel),Valdar Ahd (Marvel)
0,Ahmyor,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Ahmyor (Marvel)(Age of Apocalypse)
0,Ahpuch,Marvel,Ahau,(Marvel)(Ahau),Ahpuch (Marvel)(Ahau)
0,Ahura,Marvel,,(Marvel),Ahura (Marvel)
0,Ai Apaec,Marvel,Earth-1771,(Marvel)(Earth-1771),Ai Apaec (Marvel)(Earth-1771)
0,Aimee,Marvel,,(Marvel),Aimee (Marvel)
0,Air,Marvel,,(Marvel),Air (Marvel)
0,Walker,Marvel,01 - Robot,(Marvel)(01 - Robot),Walker (Marvel)(01 - Robot)
0,Walker,Marvel,02 - Gabriel Lan,(Marvel)(02 - Gabriel Lan),Walker (Marvel)(02 - Gabriel Lan)
0,Airborne,Marvel,01 - Shadowforce,(Marvel)(01 - Shadowforce),Airborne (Marvel)(01 - Shadowforce)
0,Airborne,Marvel,02 - Death Squad,(Marvel)(02 - Death Squad),Airborne (Marvel)(02 - Death Squad)
0,Aireo,Marvel,,(Marvel),Aireo (Marvel)
0,Aisa,Marvel,,(Marvel),Aisa (Marvel)
0,Ajak,Marvel,Eternals,(Marvel)(Eternals),Ajak (Marvel)(Eternals)
0,Ajax,Marvel,01 - Pantheon,(Marvel)(01 - Pantheon),Ajax (Marvel)(01 - Pantheon)
0,Ajax,Marvel,02 - Francis Fanny,(Marvel)(02 - Francis Fanny),Ajax (Marvel)(02 - Francis Fanny)
0,Ajaxis,Marvel,,(Marvel),Ajaxis (Marvel)
0,Ajort,Marvel,,(Marvel),Ajort (Marvel)
0,Akaje,Marvel,,(Marvel),Akaje (Marvel)
0,Akatora,Marvel,,(Marvel),Akatora (Marvel)
0,Akhenaten,Marvel,,(Marvel),Akhenaten (Marvel)
0,Akiro,Marvel,,(Marvel),Akiro (Marvel)
0,Akpaxa,Marvel,,(Marvel),Akpaxa (Marvel)
0,Akuma,Marvel,,(Marvel),Akuma (Marvel)
0,Rahman,Marvel,Ultimate,(Marvel)(Ultimate),Rahman (Marvel)(Ultimate)
0,Alan,Marvel,,(Marvel),Alan (Marvel)
0,Alaric,Marvel,,(Marvel),Alaric (Marvel)
0,Albakor,Marvel,,(Marvel),Albakor (Marvel)
0,Albert,Marvel,,(Marvel),Albert (Marvel)
0,Albert,Marvel,Exiles - Earth-50211,(Marvel)(Exiles - Earth-50211),Albert (Marvel)(Exiles - Earth-50211)
0,Albion,Marvel,01 - Peter Hunter,(Marvel)(01 - Peter Hunter),Albion (Marvel)(01 - Peter Hunter)
0,Albion,Marvel,02 - Bran Bardic,(Marvel)(02 - Bran Bardic),Albion (Marvel)(02 - Bran Bardic)
0,Alchemoid,Marvel,,(Marvel),Alchemoid (Marvel)
0,Alchemy,Marvel,,(Marvel),Alchemy (Marvel)
0,Alecto,Marvel,,(Marvel),Alecto (Marvel)
0,Alecto,Marvel,Inhuman,(Marvel)(Inhuman),Alecto (Marvel)(Inhuman)
0,Aleks,Marvel,Ultimate,(Marvel)(Ultimate),Aleks (Marvel)(Ultimate)
0,Aleph,Marvel,,(Marvel),Aleph (Marvel)
0,Aleta,Marvel,,(Marvel),Aleta (Marvel)
0,Alex,Marvel,01-Inferno Babies,(Marvel)(01-Inferno Babies),Alex (Marvel)(01-Inferno Babies)
0,Alex,Marvel,Earth-8351,(Marvel)(Earth-8351),Alex (Marvel)(Earth-8351)
0,Alex,Marvel,MC2,(Marvel)(MC2),Alex (Marvel)(MC2)
0,Alex,Marvel,Morlocks,(Marvel)(Morlocks),Alex (Marvel)(Morlocks)
0,Alexi,Marvel,,(Marvel),Alexi (Marvel)
0,Alexis,Marvel,01-Nurse,(Marvel)(01-Nurse),Alexis (Marvel)(01-Nurse)
0,Alexis,Marvel,,(Marvel),Alexis (Marvel)
0,Alexis,Marvel,03,(Marvel)(03),Alexis (Marvel)(03)
0,Alfie,Marvel,01 - Golden Age,(Marvel)(01 - Golden Age),Alfie (Marvel)(01 - Golden Age)
0,Alfie,Marvel,02 - Fatboys,(Marvel)(02 - Fatboys),Alfie (Marvel)(02 - Fatboys)
0,August Edward Alfred,Marvel,,(Marvel),August Edward Alfred (Marvel)
0,Abdul Alhazred,Marvel,,(Marvel),Abdul Alhazred (Marvel)
0,Ali,Marvel,,(Marvel),Ali (Marvel)
0,Alkhema,Marvel,,(Marvel),Alkhema (Marvel)
0,American,Marvel,,(Marvel),American (Marvel)
0,Allan,Marvel,,(Marvel),Allan (Marvel)
0,Allan,Marvel,Adventures,(Marvel)(Adventures),Allan (Marvel)(Adventures)
0,Allan,Marvel,Renew Your Vows,(Marvel)(Renew Your Vows),Allan (Marvel)(Renew Your Vows)
0,Allan,Marvel,Spider-Gwen,(Marvel)(Spider-Gwen),Allan (Marvel)(Spider-Gwen)
0,Allan,Marvel,Ultimate,(Marvel)(Ultimate),Allan (Marvel)(Ultimate)
0,Allatou,Marvel,,(Marvel),Allatou (Marvel)
0,Allegra,Marvel,,(Marvel),Allegra (Marvel)
0,John Allen,Marvel,,(Marvel),John Allen (Marvel)
0,Kim Alleyne,Marvel,,(Marvel),Kim Alleyne (Marvel)
0,David Alleyne,Marvel,House of M,(Marvel)(House of M),David Alleyne (Marvel)(House of M)
0,Allie,Marvel,,(Marvel),Allie (Marvel)
0,Almighty Dollar,Marvel,,(Marvel),Almighty Dollar (Marvel)
0,Alpha,Marvel,01 - Hywell Griffin,(Marvel)(01 - Hywell Griffin),Alpha (Marvel)(01 - Hywell Griffin)
0,Alpha,Marvel,02 - Andy Maguire,(Marvel)(02 - Andy Maguire),Alpha (Marvel)(02 - Andy Maguire)
0,Alpha Dog,Marvel,Ultimate,(Marvel)(Ultimate),Alpha Dog (Marvel)(Ultimate)
0,Alpha the Ultimate Mutant,Marvel,,(Marvel),Alpha the Ultimate Mutant (Marvel)
0,Alphonse,Marvel,,(Marvel),Alphonse (Marvel)
0,Marlene Alraune,Marvel,,(Marvel),Marlene Alraune (Marvel)
0,Marlene Alraune,Marvel,Ultimate,(Marvel)(Ultimate),Marlene Alraune (Marvel)(Ultimate)
0,Alter Ego,Marvel,,(Marvel),Alter Ego (Marvel)
0,Altman,Marvel,,(Marvel),Altman (Marvel)
0,Carly Alvarez,Marvel,,(Marvel),Carly Alvarez (Marvel)
0,Felix Ricardo Alvarez,Marvel,,(Marvel),Felix Ricardo Alvarez (Marvel)
0,Alyssa,Marvel,Daredevil,(Marvel)(Daredevil),Alyssa (Marvel)(Daredevil)
0,Aman,Marvel,,(Marvel),Aman (Marvel)
0,Māmi Amanō,Marvel,,(Marvel),Māmi Amanō (Marvel)
0,Amaterasu,Marvel,,(Marvel),Amaterasu (Marvel)
0,Amazing Merwoman,Marvel,,(Marvel),Amazing Merwoman (Marvel)
0,Woman,Marvel,,(Marvel),Woman (Marvel)
0,Amazon,Marvel,01 - XSE,(Marvel)(01 - XSE),Amazon (Marvel)(01 - XSE)
0,Amazon,Marvel,02 - Katrina Van Horn,(Marvel)(02 - Katrina Van Horn),Amazon (Marvel)(02 - Katrina Van Horn)
0,Amazon,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Amazon (Marvel)(Age of Apocalypse)
0,Amber,Marvel,01 - mutant,(Marvel)(01 - mutant),Amber (Marvel)(01 - mutant)
0,Celestia Amberlyn,Marvel,2099,(Marvel)(2099),Celestia Amberlyn (Marvel)(2099)
0,Ambush,Marvel,,(Marvel),Ambush (Marvel)
0,Amenhotep,Marvel,,(Marvel),Amenhotep (Marvel)
0,The American,Marvel,,(Marvel),The American (Marvel)
0,American Eagle,Marvel,,(Marvel),American Eagle (Marvel)
0,American Eagle,Marvel,,(Marvel),American Eagle (Marvel)
0,American Panther,Marvel,,(Marvel),American Panther (Marvel)
0,American Samurai,Marvel,,(Marvel),American Samurai (Marvel)
0,American Son,Marvel,01 - Harry Osborn,(Marvel)(01 - Harry Osborn),American Son (Marvel)(01 - Harry Osborn)
0,American Son,Marvel,02 - Gabriel Stacy,(Marvel)(02 - Gabriel Stacy),American Son (Marvel)(02 - Gabriel Stacy)
0,Ameridroid,Marvel,,(Marvel),Ameridroid (Marvel)
0,Amerimom,Marvel,Blue,(Marvel)(Blue),Amerimom (Marvel)(Blue)
0,Amerimom,Marvel,Red,(Marvel)(Red),Amerimom (Marvel)(Red)
0,Aminedi,Marvel,,(Marvel),Aminedi (Marvel)
0,Amity,Marvel,100th Anniversary,(Marvel)(100th Anniversary),Amity (Marvel)(100th Anniversary)
0,Ammo,Marvel,,(Marvel),Ammo (Marvel)
0,Ammon Ra,Marvel,,(Marvel),Ammon Ra (Marvel)
0,Amnel,Marvel,,(Marvel),Amnel (Marvel)
0,Amoeba Boy,Marvel,,(Marvel),Amoeba Boy (Marvel)
0,Amon Ra,Marvel,,(Marvel),Amon Ra (Marvel)
0,Amp,Marvel,01 - Michelle,(Marvel)(01 - Michelle),Amp (Marvel)(01 - Michelle)
0,Amp,Marvel,02 - Zach,(Marvel)(02 - Zach),Amp (Marvel)(02 - Zach)
0,Amp,Marvel,Ultimate - female,(Marvel)(Ultimate - female),Amp (Marvel)(Ultimate - female)
0,Amp,Marvel,Ultimate - Halyon,(Marvel)(Ultimate - Halyon),Amp (Marvel)(Ultimate - Halyon)
0,Ampere,Marvel,,(Marvel),Ampere (Marvel)
0,Amphibian,Marvel,Earth 712 - Squadron,(Marvel)(Earth 712 - Squadron),Amphibian (Marvel)(Earth 712 - Squadron)
0,Amphibian,Marvel,Supreme Power,(Marvel)(Supreme Power),Amphibian (Marvel)(Supreme Power)
0,Amphibian,Marvel,Zombies Supreme,(Marvel)(Zombies Supreme),Amphibian (Marvel)(Zombies Supreme)
0,Amphibius,Marvel,,(Marvel),Amphibius (Marvel)
0,Amphibius,Marvel,Animated,(Marvel)(Animated),Amphibius (Marvel)(Animated)
0,Amun,Marvel,,(Marvel),Amun (Marvel)
0,Amy,Marvel,,(Marvel),Amy (Marvel)
0,Anabolicus,Marvel,,(Marvel),Anabolicus (Marvel)
0,Anachronism,Marvel,,(Marvel),Anachronism (Marvel)
0,Anaconda,Marvel,,(Marvel),Anaconda (Marvel)
0,Anaconda,Marvel,Ultimate,(Marvel)(Ultimate),Anaconda (Marvel)(Ultimate)
0,Anais,Marvel,01-mutant,(Marvel)(01-mutant),Anais (Marvel)(01-mutant)
0,Ananastasia,Marvel,,(Marvel),Ananastasia (Marvel)
0,Anansi,Marvel,,(Marvel),Anansi (Marvel)
0,Anansi,Marvel,Earth-7082,(Marvel)(Earth-7082),Anansi (Marvel)(Earth-7082)
0,Anarchist,Marvel,,(Marvel),Anarchist (Marvel)
0,Ancient One,Marvel,Adventures,(Marvel)(Adventures),Ancient One (Marvel)(Adventures)
0,Ancient One,Marvel,Bullet Points,(Marvel)(Bullet Points),Ancient One (Marvel)(Bullet Points)
0,Ancient One,Marvel,Guardians Of The Galaxy,(Marvel)(Guardians Of The Galaxy),Ancient One (Marvel)(Guardians Of The Galaxy)
0,Ancient One,Marvel,Movies,(Marvel)(Movies),Ancient One (Marvel)(Movies)
0,Ancient One,Yao,Marvel,(Yao)(Marvel),Ancient One (Yao)(Marvel)
0,Andavri,Marvel,,(Marvel),Andavri (Marvel)
0,Mary Alice Anders,Marvel,,(Marvel),Mary Alice Anders (Marvel)
0,Anderson,Marvel,,(Marvel),Anderson (Marvel)
0,Alex Anderson,Marvel,,(Marvel),Alex Anderson (Marvel)
0,Doctor Anderson,Marvel,Operation Rebirth,(Marvel)(Operation Rebirth),Doctor Anderson (Marvel)(Operation Rebirth)
0,Andrei,Marvel,2099,(Marvel)(2099),Andrei (Marvel)(2099)
0,Andromeda,Marvel,,(Marvel),Andromeda (Marvel)
0,Andromeda,Marvel,Adventures,(Marvel)(Adventures),Andromeda (Marvel)(Adventures)
0,Andros,Marvel,01,(Marvel)(01),Andros (Marvel)(01)
0,Andros,Marvel,02,(Marvel)(02),Andros (Marvel)(02)
0,Aneka,Marvel,,(Marvel),Aneka (Marvel)
0,Anelle,Marvel,,(Marvel),Anelle (Marvel)
0,David Angar,Marvel,Movies,(Marvel)(Movies),David Angar (Marvel)(Movies)
0,Angar the Screamer,Marvel,,(Marvel),Angar the Screamer (Marvel)
0,Angel,Marvel,,(Marvel),Angel (Marvel)
0,Angel,Marvel,01 - Thomas Halloway,(Marvel)(01 - Thomas Halloway),Angel (Marvel)(01 - Thomas Halloway)
0,Angel,Marvel,02 - Simon Halloway,(Marvel)(02 - Simon Halloway),Angel (Marvel)(02 - Simon Halloway)
0,Angel,Marvel,03 - Warren Worthington III,(Marvel)(03 - Warren Worthington III),Angel (Marvel)(03 - Warren Worthington III)
0,Angel,Marvel,04 - Angel Salvatore,(Marvel)(04 - Angel Salvatore),Angel (Marvel)(04 - Angel Salvatore)
0,Angel,Marvel,1602,(Marvel)(1602),Angel (Marvel)(1602)
0,Angel,Marvel,Adventures,(Marvel)(Adventures),Angel (Marvel)(Adventures)
0,Angel,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Angel (Marvel)(Age of Apocalypse)
0,Angel,Marvel,Age Of X,(Marvel)(Age Of X),Angel (Marvel)(Age Of X)
0,Angel,Marvel,Animated,(Marvel)(Animated),Angel (Marvel)(Animated)
0,Angel,Marvel,Apes,(Marvel)(Apes),Angel (Marvel)(Apes)
0,Angel,Marvel,E is for Extinction,(Marvel)(E is for Extinction),Angel (Marvel)(E is for Extinction)
0,Angel,Marvel,Earth 9997 - Earth X,(Marvel)(Earth 9997 - Earth X),Angel (Marvel)(Earth 9997 - Earth X)
0,Angel,Marvel,Earth-2189 - Exiles,(Marvel)(Earth-2189 - Exiles),Angel (Marvel)(Earth-2189 - Exiles)
0,Angel,Marvel,Earth-4400 - Exiles,(Marvel)(Earth-4400 - Exiles),Angel (Marvel)(Earth-4400 - Exiles)
0,Angel,Marvel,Earth-714 - Exiles,(Marvel)(Earth-714 - Exiles),Angel (Marvel)(Earth-714 - Exiles)
0,Angel,Marvel,Earth-8649 - Exiles,(Marvel)(Earth-8649 - Exiles),Angel (Marvel)(Earth-8649 - Exiles)
0,Angel,Marvel,House of M,(Marvel)(House of M),Angel (Marvel)(House of M)
0,Angel,Marvel,Last Gun on Earth,(Marvel)(Last Gun on Earth),Angel (Marvel)(Last Gun on Earth)
0,Angel,Marvel,Mini Marvels,(Marvel)(Mini Marvels),Angel (Marvel)(Mini Marvels)
0,Angel,Marvel,Mosaic,(Marvel)(Mosaic),Angel (Marvel)(Mosaic)
0,Angel,Marvel,Renew Your Vows,(Marvel)(Renew Your Vows),Angel (Marvel)(Renew Your Vows)
0,Angel,Marvel,Skrull impostor,(Marvel)(Skrull impostor),Angel (Marvel)(Skrull impostor)
0,Angel,Marvel,Super Hero Squad,(Marvel)(Super Hero Squad),Angel (Marvel)(Super Hero Squad)
